4-235#0#Asignado#ORANGE ESPAÑA VIRTUAL, S.L. UNIPERSONAL#04/09/2008
4-235#1#Asignado#ORANGE ESPAÑA VIRTUAL, S.L. UNIPERSONAL#04/09/2008
4-235#4#Asignado#COLT TECHNOLOGY SERVICES, S.A. UNIPERSONAL#04/02/2011
4-235#5#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#12/01/2010
4-235#6#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#12/01/2010
6-244#0#Asignado#BT ESPAÑA COMPAÑÍA DE SERVICIOS GLOBALES DE TELECOMUNICACIONES, S.A. UNIPERSONAL#17/11/2005
6-244#1#Asignado#BT ESPAÑA COMPAÑÍA DE SERVICIOS GLOBALES DE TELECOMUNICACIONES, S.A. UNIPERSONAL#17/11/2005
6-244#2#Asignado#LEAST COST ROUTING TELECOM, S.L.#18/11/2005
6-244#3#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#05/01/2006
6-244#4#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#05/01/2006
6-244#5#Asignado#XTRA TELECOM, S.A.UNIPERSONAL#17/02/2015
6-244#6#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#21/11/2017
6-244#7#Asignado#XTRA TELECOM, S.A.UNIPERSONAL#17/02/2015
7-236#0#Asignado#BT ESPAÑA COMPAÑÍA DE SERVICIOS GLOBALES DE TELECOMUNICACIONES, S.A. UNIPERSONAL#16/01/2008
7-236#2#Asignado#XFERA MÓVILES, S.A. UNIPERSONAL#30/05/2008
7-236#3#Asignado#XFERA MÓVILES, S.A. UNIPERSONAL#30/05/2008
7-236#4#Asignado#DIGI SPAIN TELECOM, S.L.#10/06/2008
7-236#5#Asignado#DIGI SPAIN TELECOM, S.L.#10/06/2008
7-241#0#Asignado#ORANGE ESPAÑA VIRTUAL, S.L. UNIPERSONAL#22/08/2007
7-241#1#Asignado#VODAFONE ESPAÑA, S.A. UNIPERSONAL#08/01/2008
7-241#2#Asignado#VODAFONE ESPAÑA, S.A. UNIPERSONAL#08/01/2008
7-241#3#Asignado#VODAFONE ESPAÑA, S.A. UNIPERSONAL#08/01/2008
7-241#4#Asignado#VODAFONE ESPAÑA, S.A. UNIPERSONAL#08/01/2008
7-241#7#Asignado#DIGI SPAIN TELECOM, S.L.#10/06/2008
7-254#0#Asignado#VODAFONE ESPAÑA, S.A. UNIPERSONAL#23/12/2004
7-254#1#Asignado#VODAFONE ESPAÑA, S.A. UNIPERSONAL#23/12/2004
7-254#3#Asignado#MARIN TELECOM, S.L. UNIPERSONAL#07/04/2005
