844#11/07/2018#Asignado#SIPTIZE, S.L.
845#04/03/2009#Asignado#ALMA TELECOM, S.L.
846#28/07/2017#Asignado#ARCETEL, S.L.
847#10/01/2018#Asignado#MASVOZ TELECOMUNICACIONES INTERACTIVAS, S.L. UNIPERSONAL
848#24/03/2009#Asignado#TELCOM BUSINESS SOLUTIONS, S.L.
850#20/09/2017#Asignado#PREMIUM VOICE, S.L. UNIPERSONAL
851#06/09/2018#Asignado#INTERFIBRA TELECOMUNICACIONES, S.L.
852#26/11/2015#Asignado#VOIPING US, S.L.
853#09/11/2018#Asignado#BB PHONE LEVANTE, S.L. UNIPERSONAL
854#22/11/2018#Asignado#PATUMOVIL CANARIAS, S.L. UNIPERSONAL
855#08/03/2016#Asignado#VOZ COMPUTING, S.L. UNIPERSONAL
856#01/09/2016#Asignado#TELCIA COMUNICACIONES, S.L.
857#13/07/2009#Asignado#DRAGONET COMUNICACIONES, S.L.
858#16/01/2018#Asignado#VOITIC, S.L.
859#04/12/2018#Asignado#OPERADORA DE NUEVOS SISTEMAS DE COMUNICACIÓN, S.L. UNIPERSONAL
860#02/02/2018#Asignado#TRISONATA, S.L.
861#02/10/2012#Asignado#ALISYS DIGITAL, S.L. UNIPERSONAL
862#20/10/2016#Asignado#ALTA TECNOLOGIA EN COMUNICACIONS, S.L.
863#27/10/2009#Asignado#FLASH MEDIA EUROPA, S.L.
864#13/06/2017#Asignado#DIGI SPAIN TELECOM, S.L.
865#28/10/2009#Asignado#DIGITAL ONLINE DEVELOPMENT, S.L.UNIPERSONAL
866#03/12/2009#Asignado#EMBOU NUEVAS TECNOLOGÍAS, S.L. UNIPERSONAL
867#14/06/2016#Asignado#SARENET, S.A.
868#07/03/2018#Asignado#CFMEDIA GLOBAL SERVICES, S.L.
869#28/01/2010#Asignado#DESARROLLO DE TÉCNICAS DE INFORMACIÓN Y COMUNICACIÓN, S.L.
870#25/04/2018#Asignado#THE TELECOM BOUTIQUE, S.L.
871#11/10/2017#Asignado#ZEBRAMEDIA TECHNOLOGY SYSTEMS, S.L.
872#15/06/2010#Asignado#INFORMÁTICA EL CORTE INGLÉS, S.A.
874#06/02/2019#Asignado#SINEASEN, S.L.
875#16/12/2013#Asignado#ADVANCED VOICE, S.L.
876#17/10/2016#Asignado#CITELIA, S.A.
878#24/07/2015#Asignado#CORPORACIÓN DE LÍNEAS PREMIUM Y SISTEMAS DE MENSAJERÍA, S.L.
879#14/12/2010#Asignado#VOZTELECOM OIGAA360, S.A.
880#24/05/2019#Asignado#ICATEL NETWORK, S.L. UNIPERSONAL
881#14/02/2011#Asignado#OCEAN´S NETWORK, S.L.
882#05/05/2011#Asignado#NET REAL SOLUTIONS, S.L.
883#23/06/2011#Asignado#COMUNICACIONES 2012, S.L. UNIPERSONAL
885#19/11/2013#Asignado#OPEN CABLE TELECOMUNICACIONES, S.L.
886#20/09/2011#Asignado#OVH HISPANO, S.L. UNIPERSONAL
889#10/10/2011#Asignado#SEWAN COMUNICACIONES, S.L. UNIPERSONAL
892#10/01/2012#Asignado#PROSODIE IBÉRICA, S.L. UNIPERSONAL
893#10/08/2016#Asignado#INSTAL MATEL, S.L.
894#12/03/2012#Asignado#TELL ME TELECOM S.L. UNIPERSONAL
896#03/07/2012#Asignado#ATENTO TELESERVICIOS ESPAÑA, S.A. UNIPERSONAL
897#06/07/2012#Asignado#TELIMIT, S.L.
898#21/08/2012#Asignado#ADVANCED TELEPHONE SERVICES, S.A. UNIPERSONAL
899#17/07/2018#Asignado#DIGITAL TELECOM NETWORKS, S.L.
900#01/08/2019#Asignado#R CABLE Y TELECABLE TELECOMUNICACIONES, S.A. UNIPERSONAL
901#13/10/2010#Asignado#SCN TRUPHONE, S.L.
902#02/03/2016#Asignado#PROCONO, S.A.
903#24/11/2011#Asignado#SUMA OPERADOR DE TELECOMUNICACIONES, S.L. UNIPERSONAL
905#12/09/2017#Asignado#ZINNIA TELECOMUNICACIONES, S.L. UNIPERSONAL
906#09/10/2017#Asignado#ALTA TECNOLOGIA EN COMUNICACIONS, S.L.
907#19/06/2018#Asignado#SAC CONVERGENT AGGREGATION SERVICES, S.L. UNIPERSONAL
908#30/05/2019#Asignado#SYMA MOBILE ESPAÑA, S.L.
909#23/09/2019#Asignado#ALAI OPERADOR DE TELECOMUNICACIONES, S.L.
910#18/05/2007#Asignado#R CABLE Y TELECABLE TELECOMUNICACIONES, S.A. UNIPERSONAL
916#02/02/2017#Asignado#AIRE NETWORKS DEL MEDITERRÁNEO, S.L. UNIPERSONAL
930#23/07/2007#Asignado#ORANGE ESPAÑA VIRTUAL, S.L. UNIPERSONAL
940#10/03/2016#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL
960#29/05/2008#Asignado#DIGI SPAIN TELECOM, S.L.
970#09/09/2008#Asignado#VODAFONE ENABLER ESPAÑA, S.L.
990#22/03/2016#Asignado#LYCAMOBILE, S.L. UNIPERSONAL
