10#1130#Asignado#TELEFÓNICA MÓVILES ESPAÑA, S.A. UNIPERSONAL#14/11/1997
10#1131#Asignado#TELEFÓNICA MÓVILES ESPAÑA, S.A. UNIPERSONAL#14/11/1997
10#1132#Asignado#TELEFÓNICA MÓVILES ESPAÑA, S.A. UNIPERSONAL#14/11/1997
10#1133#Asignado#TELEFÓNICA MÓVILES ESPAÑA, S.A. UNIPERSONAL#14/11/1997
10#1134#Asignado#TELEFÓNICA MÓVILES ESPAÑA, S.A. UNIPERSONAL#14/11/1997
10#1135#Asignado#TELEFÓNICA MÓVILES ESPAÑA, S.A. UNIPERSONAL#14/11/1997
10#1136#Asignado#TELEFÓNICA MÓVILES ESPAÑA, S.A. UNIPERSONAL#14/11/1997
10#1137#Asignado#TELEFÓNICA MÓVILES ESPAÑA, S.A. UNIPERSONAL#14/11/1997
10#1138#Asignado#TELEFÓNICA MÓVILES ESPAÑA, S.A. UNIPERSONAL#14/11/1997
10#1139#Asignado#TELEFÓNICA MÓVILES ESPAÑA, S.A. UNIPERSONAL#14/11/1997
10#1140#Asignado#TELEFÓNICA MÓVILES ESPAÑA, S.A. UNIPERSONAL#14/11/1997
10#1141#Asignado#TELEFÓNICA MÓVILES ESPAÑA, S.A. UNIPERSONAL#14/11/1997
10#1142#Asignado#TELEFÓNICA MÓVILES ESPAÑA, S.A. UNIPERSONAL#14/11/1997
10#1143#Asignado#TELEFÓNICA MÓVILES ESPAÑA, S.A. UNIPERSONAL#14/11/1997
10#1144#Asignado#TELEFÓNICA MÓVILES ESPAÑA, S.A. UNIPERSONAL#14/11/1997
10#1145#Asignado#TELEFÓNICA MÓVILES ESPAÑA, S.A. UNIPERSONAL#14/11/1997
10#1146#Asignado#TELEFÓNICA MÓVILES ESPAÑA, S.A. UNIPERSONAL#14/11/1997
10#1147#Asignado#TELEFÓNICA MÓVILES ESPAÑA, S.A. UNIPERSONAL#14/11/1997
10#1148#Asignado#TELEFÓNICA MÓVILES ESPAÑA, S.A. UNIPERSONAL#14/11/1997
10#1149#Asignado#TELEFÓNICA MÓVILES ESPAÑA, S.A. UNIPERSONAL#14/11/1997
10#1150#Asignado#TELEFÓNICA MÓVILES ESPAÑA, S.A. UNIPERSONAL#14/11/1997
10#1151#Asignado#TELEFÓNICA MÓVILES ESPAÑA, S.A. UNIPERSONAL#14/11/1997
10#1152#Asignado#TELEFÓNICA MÓVILES ESPAÑA, S.A. UNIPERSONAL#14/11/1997
10#1153#Asignado#TELEFÓNICA MÓVILES ESPAÑA, S.A. UNIPERSONAL#14/11/1997
10#1154#Asignado#TELEFÓNICA MÓVILES ESPAÑA, S.A. UNIPERSONAL#14/11/1997
10#1155#Asignado#TELEFÓNICA MÓVILES ESPAÑA, S.A. UNIPERSONAL#14/11/1997
10#1156#Asignado#TELEFÓNICA MÓVILES ESPAÑA, S.A. UNIPERSONAL#14/11/1997
10#1157#Asignado#TELEFÓNICA MÓVILES ESPAÑA, S.A. UNIPERSONAL#14/11/1997
10#1158#Asignado#TELEFÓNICA MÓVILES ESPAÑA, S.A. UNIPERSONAL#14/11/1997
10#1159#Asignado#TELEFÓNICA MÓVILES ESPAÑA, S.A. UNIPERSONAL#14/11/1997
10#1160#Asignado#TELEFÓNICA MÓVILES ESPAÑA, S.A. UNIPERSONAL#14/11/1997
10#1161#Asignado#TELEFÓNICA MÓVILES ESPAÑA, S.A. UNIPERSONAL#14/11/1997
10#1162#Asignado#TELEFÓNICA MÓVILES ESPAÑA, S.A. UNIPERSONAL#14/11/1997
10#1163#Asignado#TELEFÓNICA MÓVILES ESPAÑA, S.A. UNIPERSONAL#14/11/1997
10#1164#Asignado#TELEFÓNICA MÓVILES ESPAÑA, S.A. UNIPERSONAL#14/11/1997
10#1165#Asignado#TELEFÓNICA MÓVILES ESPAÑA, S.A. UNIPERSONAL#14/11/1997
10#1166#Asignado#TELEFÓNICA MÓVILES ESPAÑA, S.A. UNIPERSONAL#14/11/1997
10#1167#Asignado#TELEFÓNICA MÓVILES ESPAÑA, S.A. UNIPERSONAL#14/11/1997
10#1168#Asignado#TELEFÓNICA MÓVILES ESPAÑA, S.A. UNIPERSONAL#14/11/1997
10#1169#Asignado#TELEFÓNICA MÓVILES ESPAÑA, S.A. UNIPERSONAL#14/11/1997
10#1170#Asignado#TELEFÓNICA MÓVILES ESPAÑA, S.A. UNIPERSONAL#14/11/1997
10#1171#Asignado#TELEFÓNICA MÓVILES ESPAÑA, S.A. UNIPERSONAL#14/11/1997
10#1172#Asignado#TELEFÓNICA MÓVILES ESPAÑA, S.A. UNIPERSONAL#14/11/1997
10#1173#Asignado#TELEFÓNICA MÓVILES ESPAÑA, S.A. UNIPERSONAL#14/11/1997
10#1174#Asignado#TELEFÓNICA MÓVILES ESPAÑA, S.A. UNIPERSONAL#14/11/1997
10#1175#Asignado#TELEFÓNICA MÓVILES ESPAÑA, S.A. UNIPERSONAL#14/11/1997
10#1176#Asignado#TELEFÓNICA MÓVILES ESPAÑA, S.A. UNIPERSONAL#14/11/1997
10#1177#Asignado#TELEFÓNICA MÓVILES ESPAÑA, S.A. UNIPERSONAL#14/11/1997
10#1178#Asignado#TELEFÓNICA MÓVILES ESPAÑA, S.A. UNIPERSONAL#14/11/1997
10#1179#Asignado#TELEFÓNICA MÓVILES ESPAÑA, S.A. UNIPERSONAL#14/11/1997
10#1180#Asignado#TELEFÓNICA MÓVILES ESPAÑA, S.A. UNIPERSONAL#14/11/1997
10#1181#Asignado#TELEFÓNICA MÓVILES ESPAÑA, S.A. UNIPERSONAL#14/11/1997
10#1182#Asignado#TELEFÓNICA MÓVILES ESPAÑA, S.A. UNIPERSONAL#14/11/1997
10#1183#Asignado#TELEFÓNICA MÓVILES ESPAÑA, S.A. UNIPERSONAL#14/11/1997
10#1184#Asignado#TELEFÓNICA MÓVILES ESPAÑA, S.A. UNIPERSONAL#14/11/1997
10#1185#Asignado#TELEFÓNICA MÓVILES ESPAÑA, S.A. UNIPERSONAL#14/11/1997
